"review_index","source_file","source_path","trace_index","fiber_id","nd2_name","tile_name","baseline_9p5_10d","shifted_max","shifted_min","shifted_amplitude","label_round_id","label_file","original_reviewed_label","reviewed_label","notes"
"1","HPC 0112-5.npz","data/raw/hpc/HPC 0112-5.npz","22","905","0112-5-CA1001","0112-5-CA1001","-0.02922508470172169","1.018041286759761","-0.05842759791726805","1.018041286759761","hpc_random_forest_second_dual_round6","review_rounds/hpc_random_forest_second_dual_round6_reviewed_labels.csv","dual_peak","dual_peak",""
"2","HPC 0112-5.npz","data/raw/hpc/HPC 0112-5.npz","64","2089","0112-5-CA1001","0112-5-CA1001","0.018512837647084866","1.342020357683581","-0.054477213913997805","1.342020357683581","hpc_random_forest_second_dual_round6","review_rounds/hpc_random_forest_second_dual_round6_reviewed_labels.csv","sustained_response","sustained_response",""
"3","HPC 0112-5.npz","data/raw/hpc/HPC 0112-5.npz","83","2950","0112-5-CA1001","0112-5-CA1001","-0.008677354838615045","0.3385960577120711","-0.05210487010306613","0.3385960577120711","hpc_model_round1","review_rounds/hpc_model_round1_reviewed_labels.csv","no_response","no_response",""
"4","HPC 0112-5.npz","data/raw/hpc/HPC 0112-5.npz","95","3402","0112-5-CA1001","0112-5-CA1001","-0.00027979238483315423","1.6098505323220555","-0.06455649813605505","1.6098505323220555","hpc_mlp_round4","review_rounds/hpc_mlp_round4_reviewed_labels.csv","second_peak","second_peak",""
"5","HPC 0112-5.npz","data/raw/hpc/HPC 0112-5.npz","147","418","0112-5-CA1002","0112-5-CA1002","-0.09392412390008963","17.106809602878773","-0.07655830295883169","17.106809602878773","hpc_model_round2","review_rounds/hpc_model_round2_reviewed_labels.csv","sustained_response","sustained_response",""
"6","HPC 0112-5.npz","data/raw/hpc/HPC 0112-5.npz","153","457","0112-5-CA1002","0112-5-CA1002","-0.076785621445096","0.12023166853177293","-0.8545894620393854","0.8545894620393854","hpc_mlp_round4","review_rounds/hpc_mlp_round4_reviewed_labels.csv","inhibition","inhibition",""
"7","HPC 0112-5.npz","data/raw/hpc/HPC 0112-5.npz","157","626","0112-5-CA1002","0112-5-CA1002","-0.027013768898415676","0.20696790576337318","-0.5098558228639494","0.5098558228639494","hpc_model_round2","review_rounds/hpc_model_round2_reviewed_labels.csv","weak_first_peak","weak_first_peak",""
"8","HPC 0112-5.npz","data/raw/hpc/HPC 0112-5.npz","169","899","0112-5-CA1002","0112-5-CA1002","-0.008516538390947346","0.2176507104063173","-0.3314084648520815","0.3314084648520815","hpc_model_round2","review_rounds/hpc_model_round2_reviewed_labels.csv","weak_first_peak","weak_first_peak",""
"9","HPC 0112-5.npz","data/raw/hpc/HPC 0112-5.npz","178","1047","0112-5-CA1002","0112-5-CA1002","-0.03280818412286007","0.2586599095118901","-0.7069058847544882","0.7069058847544882","hpc_model_round1","review_rounds/hpc_model_round1_reviewed_labels.csv","weak_first_peak","weak_first_peak",""
"10","HPC 0112-5.npz","data/raw/hpc/HPC 0112-5.npz","187","1238","0112-5-CA1002","0112-5-CA1002","-0.013642421811436392","0.3744212242994558","-0.07143639505616346","0.3744212242994558","hpc_model_round2","review_rounds/hpc_model_round2_reviewed_labels.csv","sustained_response","sustained_response",""
"11","HPC 0112-5.npz","data/raw/hpc/HPC 0112-5.npz","192","1326","0112-5-CA1002","0112-5-CA1002","-0.044527645027798546","2.5253774673098146","-0.06351320214973569","2.5253774673098146","hpc_model_round2","review_rounds/hpc_model_round2_reviewed_labels.csv","sustained_response","sustained_response",""
"12","HPC 0112-5.npz","data/raw/hpc/HPC 0112-5.npz","202","1603","0112-5-CA1002","0112-5-CA1002","-0.04253345301737787","0.47901695984430775","-0.15983593171090013","0.47901695984430775","hpc_mlp_round4","review_rounds/hpc_mlp_round4_reviewed_labels.csv","dual_peak","dual_peak",""
"13","HPC 0112-5.npz","data/raw/hpc/HPC 0112-5.npz","289","1612","0112-5-CA1003","0112-5-CA1003","0.0048965305013999065","0.2882248029741039","-0.07662902595039918","0.2882248029741039","hpc_mlp_round4","review_rounds/hpc_mlp_round4_reviewed_labels.csv","no_response","no_response",""
