"review_index","source_file","source_path","trace_index","fiber_id","nd2_name","tile_name","baseline_9p5_10d","shifted_max","shifted_min","shifted_amplitude","predicted_label","model_top_label","prediction_confidence","target_label_distance","reviewed_label","notes"
"1","HPC 0120-3.npz","data/raw/hpc/HPC 0120-3.npz","32","1286","0120-3-CA1001","0120-3-CA1001","-0.006530146351304274","0.29892914598084297","-0.07286576861951786","0.29892914598084297","dual_peak","dual_peak","0.9682530108090213","","sustained_response",""
"2","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","369","1631","0212-5-B2-40X003","0212-5-B2-40X003","-0.0027329873994964547","0.48037897319303874","-0.17682790092419629","0.48037897319303874","dual_peak","dual_peak","0.9582069624890345","","sustained_response",""
"3","HPC 0112-5.npz","data/raw/hpc/HPC 0112-5.npz","318","2351","0112-5-CA1003","0112-5-CA1003","-0.010871256688281613","0.21768786910920476","-0.062216129448647996","0.21768786910920476","dual_peak","dual_peak","0.8538383307911229","","no_response",""
"4","HPC 0112-5.npz","data/raw/hpc/HPC 0112-5.npz","289","1612","0112-5-CA1003","0112-5-CA1003","0.0048965305013999065","0.2882248029741039","-0.07662902595039918","0.2882248029741039","dual_peak","dual_peak","0.8239458821361507","","no_response",""
"5","HPC 0120-5.npz","data/raw/hpc/HPC 0120-5.npz","804","2182","0120-5-CA1006","0120-5-CA1006","-0.025556982587866886","1.009213575554427","-0.04336668812594707","1.009213575554427","dual_peak","dual_peak","0.7578330054362536","","sustained_response",""
"6","HPC 0203-2.npz","data/raw/hpc/HPC 0203-2.npz","62","2579","0203-2-A5-40X001","0203-2-A5-40X001","0.030694905382371924","0.2332234274673586","-0.09309537705289338","0.2332234274673586","dual_peak","dual_peak","0.7098204663718632","","sustained_response",""
"7","HPC 0203-3.npz","data/raw/hpc/HPC 0203-3.npz","155","713","0203-3-B5002","0203-3-B5002","0.020451721856099742","1.5098783920212162","-0.0848423625287492","1.5098783920212162","dual_peak","dual_peak","0.7008885299938866","","sustained_response",""
"8","HPC 0203-3.npz","data/raw/hpc/HPC 0203-3.npz","617","108","0203-3-C2001","0203-3-C2001","-0.03636778452834695","0.7804662867874224","-0.0920975415125627","0.7804662867874224","dual_peak","dual_peak","0.6907216205616504","","sustained_response",""
"9","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","931","4736","0203-4-B5003","0203-4-B5003","0.025578428995196096","0.3986573394573581","-0.06926377222212","0.3986573394573581","dual_peak","dual_peak","0.5948278989732066","","sustained_response",""
"10","HPC 0203-3.npz","data/raw/hpc/HPC 0203-3.npz","676","1161","0203-3-C2001","0203-3-C2001","0.007671590489659581","1.1460850223063845","-0.05372570153182679","1.1460850223063845","dual_peak","dual_peak","0.5808068774609509","","sustained_response",""
