"review_index","source_file","source_path","trace_index","fiber_id","nd2_name","tile_name","baseline_9p5_10d","shifted_max","shifted_min","shifted_amplitude","predicted_label","prediction_confidence","reviewed_label","notes"
"1","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","2581","1184","0212-5-C5-40X002","0212-5-C5-40X002","-0.0037863161821166144","0.4703241721654656","-0.027548095931625664","0.4703241721654656","dual_peak","0.550601988629657","weak_first_peak",""
"2","HPC 0120-5.npz","data/raw/hpc/HPC 0120-5.npz","533","4444","0120-5-CA1004","0120-5-CA1004","0.020498856965841073","0.20474339866539182","-0.04028419124768933","0.20474339866539182","dual_peak","0.4706481999024479","strong_first_peak",""
"3","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","2244","2102","0203-5-B5002","0203-5-B5002","0.007834364213442305","0.22174505168787575","-0.04143840019145578","0.22174505168787575","dual_peak","0.4248262102786307","sustained_response",""
"4","HPC 0203-3.npz","data/raw/hpc/HPC 0203-3.npz","20","529","0203-3-B5001","0203-3-B5001","-0.002723350191833752","0.23804084458639835","-0.07124648568076127","0.23804084458639835","dual_peak","0.41585295259100113","no_response",""
"5","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","558","603","0203-4-B5002","0203-4-B5002","0.040408801960747705","0.25278167444671273","-0.05828216443125202","0.25278167444671273","dual_peak","0.4089466123336156","sustained_response",""
"6","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","1054","292","0212-5-B5-40X002","0212-5-B5-40X002","-0.00704547913819563","0.3951747209387673","-0.07465928249435887","0.3951747209387673","dual_peak","0.37732783268973585","weak_first_peak",""
"7","HPC 0120-3.npz","data/raw/hpc/HPC 0120-3.npz","10","341","0120-3-CA1001","0120-3-CA1001","0.011304869578744513","0.3059944188166236","-0.08724412370272364","0.3059944188166236","dual_peak","0.3743848352847462","no_response",""
"8","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","1765","1706","0212-5-C2-40X001","0212-5-C2-40X001","-0.00723000037404053","0.23127645595918866","-0.0328551681424775","0.23127645595918866","dual_peak","0.3726445100435663","no_response",""
"9","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","2064","2055","0212-5-C2-40X003","0212-5-C2-40X003","-0.10370694655698527","0.2775403477527764","-0.03420702231017465","0.2775403477527764","dual_peak","0.37232504834629254","no_response",""
"10","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","989","5764","0203-4-B5003","0203-4-B5003","-0.013747090928436493","0.55075666379752","-0.04394785346736768","0.55075666379752","dual_peak","0.34005180310664335","strong_first_peak",""
"11","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","1081","1240","0212-5-B5-40X002","0212-5-B5-40X002","-0.0019458082127991679","0.23348244016436745","-0.05650357336307701","0.23348244016436745","dual_peak","0.3379257776809071","no_response",""
"12","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","2222","2440","0212-5-C2-40X004","0212-5-C2-40X004","0.011851087987673516","0.29049865737283115","-0.0798405112760869","0.29049865737283115","dual_peak","0.22355406978500403","sustained_response",""
"13","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","1613","4350","0203-4-C5-DG","0203-4-C5-DG","0.009871752748160385","0.2148373353415286","-0.023164392325257636","0.2148373353415286","dual_peak","0.17584423046552386","no_response",""
"14","HPC 0203-2.npz","data/raw/hpc/HPC 0203-2.npz","476","3123","0203-2-B2-40X002","0203-2-B2-40X002","0.008107403617022377","0.7118108963040827","-0.09685368399489977","0.7118108963040827","dual_peak","0.13418789901779848","strong_first_peak",""
"15","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","1298","89","0212-5-B5-40X004","0212-5-B5-40X004","-0.03192119205168122","0.5821449961944086","-0.008392183829944076","0.5821449961944086","dual_peak","0.10927981319911936","sustained_response",""
"16","HPC 0203-3.npz","data/raw/hpc/HPC 0203-3.npz","759","3856","0203-3-C2001","0203-3-C2001","0.0022034277287058418","0.21040064636092848","-0.0650828086196273","0.21040064636092848","dual_peak","0.08572050320931378","no_response",""
"17","HPC 0112-5.npz","data/raw/hpc/HPC 0112-5.npz","83","2950","0112-5-CA1001","0112-5-CA1001","-0.008677354838615045","0.3385960577120711","-0.05210487010306613","0.3385960577120711","dual_peak","0.06917035613506205","no_response",""
"18","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","211","17","0203-5-A2-DG","0203-5-A2-DG","0.024998418069357656","1.1958210656453632","-0.04384043249566612","1.1958210656453632","dual_peak","0.04791404172169799","sustained_response",""
"19","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","1231","1138","0203-5-A5002","0203-5-A5002","-0.013664016158330699","0.9459025976760372","-0.005333229291904896","0.9459025976760372","dual_peak","0.031891279684986056","sustained_response",""
"20","HPC 0203-3.npz","data/raw/hpc/HPC 0203-3.npz","380","2721","0203-3-B5003","0203-3-B5003","0.07191117948560236","0.41816494165073714","-0.13627536839759097","0.41816494165073714","dual_peak","0.016478164779984716","sustained_response",""
"21","HPC 0203-3.npz","data/raw/hpc/HPC 0203-3.npz","648","584","0203-3-C2001","0203-3-C2001","0.017047925906050282","0.016499626194104805","-0.6308863817299382","0.6308863817299382","inhibition","0.8557585410142005","inhibition",""
"22","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","2052","436","0203-5-B5001","0203-5-B5001","0.03481916537624491","0.005625486025434258","-0.544680064112439","0.544680064112439","inhibition","0.8449169342735038","inhibition",""
"23","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","1336","1690","0203-4-C2003","0203-4-C2003","0.008735831157247138","0.005556373886246921","-0.6118557285792363","0.6118557285792363","inhibition","0.8430987216870957","inhibition",""
"24","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","135","4205","0212-5-B2-40X001","0212-5-B2-40X001","0.017805770755401795","0.00883452536405058","-0.5391112979915432","0.5391112979915432","inhibition","0.8365652526146486","inhibition",""
"25","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","1885","3063","0203-4-C5001","0203-4-C5001","0.018112194966177025","0.005880102826097348","-0.7097425915878736","0.7097425915878736","inhibition","0.8242009587367268","inhibition",""
"26","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","1830","256","0203-5-B5-DG","0203-5-B5-DG","0.005336697487061741","0.01100855742964747","-0.5860496424258218","0.5860496424258218","inhibition","0.8165534937794648","inhibition",""
"27","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","2097","2872","0212-5-C2-40X003","0212-5-C2-40X003","0.01327729094974125","0.008430856115573907","-0.6095503308636696","0.6095503308636696","inhibition","0.8118965474935304","inhibition",""
"28","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","2403","263","0212-5-C5-40X001","0212-5-C5-40X001","0.028762423028467033","0.0113215405342923","-0.6918875658639404","0.6918875658639404","inhibition","0.811650628832255","inhibition",""
"29","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","2310","60","0203-4-D2002","0203-4-D2002","0.02448638190484317","0.008912928657253464","-0.5502509423209677","0.5502509423209677","inhibition","0.8100252883457022","inhibition",""
"30","HPC 0203-2.npz","data/raw/hpc/HPC 0203-2.npz","748","3626","0203-2-B2-40X","0203-2-B2-40X","0.010577362367249316","0.015191505878202212","-0.6825868079314946","0.6825868079314946","inhibition","0.8023699405925336","inhibition",""
"31","HPC 0203-3.npz","data/raw/hpc/HPC 0203-3.npz","599","3856","0203-3-B5004","0203-3-B5004","0.02104242050337543","0.015800018700982334","-0.7053713315221755","0.7053713315221755","inhibition","0.7911708138109235","inhibition",""
"32","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","2083","924","0203-4-C5003","0203-4-C5003","0.005663240118508062","0.00977370654501605","-0.7525747199322935","0.7525747199322935","inhibition","0.6248767393186068","inhibition",""
"33","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","1388","3210","0203-5-A5003","0203-5-A5003","0.037004665393256135","0.009690435485871028","-0.33406126975139167","0.33406126975139167","inhibition","0.5599040833918872","inhibition",""
"34","HPC 0203-3.npz","data/raw/hpc/HPC 0203-3.npz","87","2339","0203-3-B5001","0203-3-B5001","0.02010824060878846","0.017877151567288686","-0.9050115006090054","0.9050115006090054","inhibition","0.4847614142128199","inhibition",""
"35","HPC 0212-4.npz","data/raw/hpc/HPC 0212-4.npz","63","1359","0212-4-C2-40X002","0212-4-C2-40X002","-0.003146430381149579","0.032744032654092786","-0.6668138608170925","0.6668138608170925","inhibition","0.41511772146448295","inhibition",""
"36","HPC 0203-2.npz","data/raw/hpc/HPC 0203-2.npz","772","4479","0203-2-B2-40X","0203-2-B2-40X","-0.0008375085907273981","0.11835216753047459","-0.8931621898643337","0.8931621898643337","inhibition","0.34495108096430827","inhibition",""
"37","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","1629","484","0203-5-B5-DG001","0203-5-B5-DG001","0.1012629378554341","0.12530126173421158","-0.7380373898594977","0.7380373898594977","inhibition","0.28053797232454625","inhibition",""
"38","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","2187","815","0203-5-B5002","0203-5-B5002","-0.0004342601852163012","0.027636887175091836","-0.6040491795704698","0.6040491795704698","inhibition","0.21858098111384477","inhibition",""
"39","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","3147","3715","0212-5-C5-40X","0212-5-C5-40X","0.014622852765191395","0.09490060408598955","-0.2628588951584494","0.2628588951584494","inhibition","0.15017954953169405","inhibition",""
"40","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","949","1734","0212-5-B5-40X001","0212-5-B5-40X001","0.013521465514816821","0.09441523285927883","-0.36304193389017037","0.36304193389017037","inhibition","0.07626869967982378","inhibition",""
"41","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","2369","1651","0203-4-D2002","0203-4-D2002","-0.01597583297580969","0.2825262670444352","-0.01089450975019355","0.2825262670444352","no_response","0.6073359950450417","no_response",""
"42","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","2387","28","0212-5-C5-40X001","0212-5-C5-40X001","-0.021523422460814","0.2465362565092345","-0.014819023890616567","0.2465362565092345","no_response","0.581247033540438","no_response",""
"43","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","348","2097","0203-5-A2-DG","0203-5-A2-DG","0.0027067365999721474","0.2244573610827448","-0.13733286805970418","0.2244573610827448","no_response","0.5553881113491896","no_response",""
"44","HPC 0112-5.npz","data/raw/hpc/HPC 0112-5.npz","534","955","0112-5-CA1005","0112-5-CA1005","-0.02051257001216833","0.22559963618149595","-0.08039450540352033","0.22559963618149595","no_response","0.5454457266044244","no_response",""
"45","HPC 0112-5.npz","data/raw/hpc/HPC 0112-5.npz","714","4297","0112-5-CA1","0112-5-CA1","-0.007293689498681939","0.25768808363722484","-0.02122450407992678","0.25768808363722484","no_response","0.5305848951645985","no_response",""
"46","HPC 0212-2.npz","data/raw/hpc/HPC 0212-2.npz","113","3524","0212-2-B2-CA1001","0212-2-B2-CA1001","-0.011496508365617768","0.20296746982451563","-0.021468469956790324","0.20296746982451563","no_response","0.49685831616125703","no_response",""
"47","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","2270","2110","0203-4-D2001-2","0203-4-D2001-2","-0.009385733875770989","0.3016137911819533","-0.016561879370068616","0.3016137911819533","no_response","0.48391644719469507","no_response",""
"48","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","2415","154","0203-5-C5001","0203-5-C5001","-0.012810629764478318","0.21531364384967266","-0.06746795708458089","0.21531364384967266","no_response","0.47773537962057544","no_response",""
"49","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","1411","144","0203-4-C5-DG","0203-4-C5-DG","-0.053601959907345946","0.22531784953682754","-0.025136925908995626","0.22531784953682754","no_response","0.47551510178178746","sustained_response",""
