"review_index","source_file","source_path","trace_index","fiber_id","nd2_name","tile_name","baseline_9p5_10d","shifted_max","shifted_min","shifted_amplitude","reviewed_label","notes"
"1","HPC 0112-5.npz","data/raw/hpc/HPC 0112-5.npz","327","2588","0112-5-CA1003","0112-5-CA1003","-0.011846295958407194","0.23165899276073193","-0.020875577480238265","0.23165899276073193","no_response",""
"2","HPC 0112-5.npz","data/raw/hpc/HPC 0112-5.npz","488","4342","0112-5-CA1004","0112-5-CA1004","-0.0024680988231559646","0.0151712329981499","-0.6778776457360904","0.6778776457360904","inhibition",""
"3","HPC 0112-5.npz","data/raw/hpc/HPC 0112-5.npz","679","3111","0112-5-CA1","0112-5-CA1","0.14590859302447953","2.201522400041832","-0.5263806622848498","2.201522400041832","strong_first_peak",""
"4","HPC 0120-3.npz","data/raw/hpc/HPC 0120-3.npz","48","2076","0120-3-CA1001","0120-3-CA1001","-0.04372384417292374","0.5439221764578174","-0.043002875021608475","0.5439221764578174","weak_first_peak",""
"5","HPC 0120-3.npz","data/raw/hpc/HPC 0120-3.npz","101","5783","0120-3-CA1001","0120-3-CA1001","1.1877271108564023","0.20590723347830764","-1.4657979091980562","1.4657979091980562","inhibition",""
"6","HPC 0120-5.npz","data/raw/hpc/HPC 0120-5.npz","150","2960","0120-5-CA1001","0120-5-CA1001","0.003283064763060251","0.26988756694175386","-0.07735425814800856","0.26988756694175386","no_response",""
"7","HPC 0120-5.npz","data/raw/hpc/HPC 0120-5.npz","300","3940","0120-5-CA1002","0120-5-CA1002","0.021390458481282577","4.230147520025593","-0.07331645793725389","4.230147520025593","sustained_response",""
"8","HPC 0120-5.npz","data/raw/hpc/HPC 0120-5.npz","329","960","0120-5-CA1003","0120-5-CA1003","0.001985506573859817","1.1992799366438798","-0.10663555631758742","1.1992799366438798","strong_first_peak",""
"9","HPC 0120-5.npz","data/raw/hpc/HPC 0120-5.npz","424","354","0120-5-CA1004","0120-5-CA1004","0.00464788785030519","0.34230955829706394","-0.03022187209094637","0.34230955829706394","no_response",""
"10","HPC 0120-5.npz","data/raw/hpc/HPC 0120-5.npz","573","457","0120-5-CA1005","0120-5-CA1005","-0.03311282036094007","0.5694811501895597","-0.021192490337673307","0.5694811501895597","sustained_response",""
"11","HPC 0120-5.npz","data/raw/hpc/HPC 0120-5.npz","650","2496","0120-5-CA1005","0120-5-CA1005","-0.007056037997044381","0.033183465605311165","-0.7012057710842305","0.7012057710842305","inhibition",""
"12","HPC 0120-5.npz","data/raw/hpc/HPC 0120-5.npz","756","385","0120-5-CA1006","0120-5-CA1006","-0.01565465844665856","4.3833843475035765","-0.27522258770028807","4.3833843475035765","sustained_response",""
"13","HPC 0203-2.npz","data/raw/hpc/HPC 0203-2.npz","4","155","0203-2-A5-40X001","0203-2-A5-40X001","0.11438396333122292","0.021677803645601568","-0.36992883214505","0.36992883214505","inhibition",""
"14","HPC 0203-2.npz","data/raw/hpc/HPC 0203-2.npz","33","1021","0203-2-A5-40X001","0203-2-A5-40X001","-0.004153009735961268","0.14017890134001934","-0.2815397442524948","0.2815397442524948","inhibition",""
"15","HPC 0203-2.npz","data/raw/hpc/HPC 0203-2.npz","433","2103","0203-2-B2-40X002","0203-2-B2-40X002","0.007520871995799037","0.8441843811050548","-0.3435746811195089","0.8441843811050548","strong_first_peak",""
"16","HPC 0203-2.npz","data/raw/hpc/HPC 0203-2.npz","627","2657","0203-2-B2-40X003","0203-2-B2-40X003","0.008452568773712517","0.039050360511965615","-0.8060488477115111","0.8060488477115111","inhibition",""
