"review_index","source_file","source_path","trace_index","fiber_id","nd2_name","tile_name","baseline_9p5_10d","shifted_max","shifted_min","shifted_amplitude","predicted_label","model_top_label","prediction_confidence","target_label_distance","reviewed_label","notes"
"1","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","908","982","0203-5-A5-DG","0203-5-A5-DG","-0.04080668115272273","0.3729508118554591","-0.09221775154147835","0.3729508118554591","dual_peak","dual_peak","0.3305341885572625","","dual_peak",""
"2","HPC 0203-2.npz","data/raw/hpc/HPC 0203-2.npz","332","4049","0203-2-B2-40X001","0203-2-B2-40X001","-0.4094922604491781","2.1925759879730884","-0.04607787414528508","2.1925759879730884","dual_peak","dual_peak","0.3281139114756882","","strong_first_peak",""
"3","HPC 0203-3.npz","data/raw/hpc/HPC 0203-3.npz","310","650","0203-3-B5003","0203-3-B5003","-0.03408768669670279","3.3025905361320054","-0.04204964487839633","3.3025905361320054","dual_peak","sustained_response","0.29888302549147694","","second_peak",""
"4","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","1994","4106","0203-5-B5-DG","0203-5-B5-DG","-0.05226214566796001","0.385168865007159","-0.01696059377774691","0.385168865007159","dual_peak","sustained_response","0.28257161576071704","","dual_peak",""
"5","HPC 0112-5.npz","data/raw/hpc/HPC 0112-5.npz","22","905","0112-5-CA1001","0112-5-CA1001","-0.02922508470172169","1.018041286759761","-0.05842759791726805","1.018041286759761","dual_peak","sustained_response","0.26946095300442263","","dual_peak",""
"6","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","343","1819","0203-4-B2003","0203-4-B2003","-0.12694619184597722","0.8730260802101547","-0.10828205323147147","0.8730260802101547","dual_peak","sustained_response","0.26474262543771093","","sustained_response",""
"7","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","1068","5840","0203-5-A5-DG","0203-5-A5-DG","-0.11436109656282988","0.6307296197181766","-0.05771089954275631","0.6307296197181766","dual_peak","sustained_response","0.25954330470282716","","dual_peak",""
"8","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","2344","1568","0203-5-B5003","0203-5-B5003","0.08449436312276412","13.194220995282794","-0.19565244723176556","13.194220995282794","dual_peak","sustained_response","0.2592383293074045","","dual_peak",""
"9","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","1269","3104","0212-5-B5-40X003","0212-5-B5-40X003","-0.05950538867513448","0.8085782384636298","-0.04779806727713355","0.8085782384636298","dual_peak","sustained_response","0.25461627992588004","","dual_peak",""
"10","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","213","2349","0203-4-B2002","0203-4-B2002","0.041487102065998066","1.1299369791476055","-0.12663622928091695","1.1299369791476055","dual_peak","sustained_response","0.24905197972550375","","dual_peak",""
"11","HPC 0212-2.npz","data/raw/hpc/HPC 0212-2.npz","358","3672","0212-2-B2-CA1","0212-2-B2-CA1","0.1989134173040491","4.571438899479122","-0.27851410386817793","4.571438899479122","dual_peak","sustained_response","0.24719525553444444","","dual_peak",""
"12","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","2194","1628","0212-5-C2-40X004","0212-5-C2-40X004","-0.031808988293293726","0.606765418881526","-0.03368524838118169","0.606765418881526","dual_peak","sustained_response","0.2468743868038836","","dual_peak",""
"13","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","2045","2956","0203-4-C5002","0203-4-C5002","-0.042445571603872","0.22056988375157885","-0.01648215588261439","0.22056988375157885","dual_peak","no_response","0.2432377776803201","","no_response",""
"14","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","1529","790","0203-5-B5-CA3","0203-5-B5-CA3","0.11506993798364304","3.8931354418335777","-0.13881241279453396","3.8931354418335777","dual_peak","sustained_response","0.2291178520504285","","strong_first_peak",""
"15","HPC 0203-2.npz","data/raw/hpc/HPC 0203-2.npz","301","2988","0203-2-B2-40X001","0203-2-B2-40X001","-0.07807347460829504","1.0030389530788508","-0.08795671168859438","1.0030389530788508","dual_peak","sustained_response","0.22230742131060593","","second_peak",""
"16","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","748","574","0203-5-A2","0203-5-A2","-0.05806813921170807","0.7076193678420979","-0.07597031961784943","0.7076193678420979","dual_peak","sustained_response","0.22149446125415664","","sustained_response",""
"17","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","1105","438","0203-5-A5001","0203-5-A5001","0.12922601638460818","12.899392024445888","-0.195430648212012","12.899392024445888","dual_peak","sustained_response","0.21643096191477976","","strong_first_peak",""
"18","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","1689","1690","0203-5-B5-DG001","0203-5-B5-DG001","-0.062461810384868754","2.374162438045554","-0.031398660295417546","2.374162438045554","dual_peak","sustained_response","0.21300184718094373","","sustained_response",""
"19","HPC 0212-1.npz","data/raw/hpc/HPC 0212-1.npz","251","1721","0212-1-B2-DG002","0212-1-B2-DG002","-0.18155856402427803","7.607977127041039","-0.16872337876922097","7.607977127041039","dual_peak","sustained_response","0.21087235326502135","","sustained_response",""
"20","HPC 0203-3.npz","data/raw/hpc/HPC 0203-3.npz","98","2713","0203-3-B5001","0203-3-B5001","0.06521268665736046","0.4600225278191008","-0.06560698585512376","0.4600225278191008","dual_peak","sustained_response","0.20972900092970662","","dual_peak",""
"21","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","1549","1639","0203-5-B5-CA3","0203-5-B5-CA3","-0.007257132485627995","0.916567270081164","-0.0698326541363478","0.916567270081164","dual_peak","sustained_response","0.20721883578205333","","sustained_response",""
"22","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","2238","2017","0203-5-B5002","0203-5-B5002","-0.06945851136324807","2.313488335254425","-0.0385702053948498","2.313488335254425","dual_peak","sustained_response","0.20613149726289007","","dual_peak",""
"23","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","2710","999","0212-5-C5-40X003","0212-5-C5-40X003","0.12943021606565613","1.5176498469262603","-0.11214640331985144","1.5176498469262603","dual_peak","sustained_response","0.20605584567821758","","second_peak",""
"24","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","122","3841","0212-5-B2-40X001","0212-5-B2-40X001","0.09836571795271866","14.858465305023318","-0.1258300393397954","14.858465305023318","dual_peak","sustained_response","0.20086989968331204","","dual_peak",""
"25","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","2334","1317","0203-5-B5003","0203-5-B5003","0.001246705302368804","0.5810358070957911","-0.14142056909735026","0.5810358070957911","dual_peak","no_response","0.19962487866505588","","dual_peak",""
"26","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","1722","380","0212-5-C2-40X001","0212-5-C2-40X001","-0.11021241266577454","4.4169142227074385","-0.07902007745570437","4.4169142227074385","dual_peak","sustained_response","0.19925304350494055","","strong_first_peak",""
"27","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","724","641","0203-4-B5003","0203-4-B5003","-0.02379231729196812","0.2863572195119833","-0.0683029416337964","0.2863572195119833","dual_peak","no_response","0.19853483596176708","","dual_peak",""
"28","HPC 0112-5.npz","data/raw/hpc/HPC 0112-5.npz","64","2089","0112-5-CA1001","0112-5-CA1001","0.018512837647084866","1.342020357683581","-0.054477213913997805","1.342020357683581","dual_peak","sustained_response","0.19777981492151284","","sustained_response",""
"29","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","1526","644","0203-5-B5-CA3","0203-5-B5-CA3","0.05388268326539243","9.842613917940941","-0.1974388734226704","9.842613917940941","dual_peak","strong_first_peak","0.19196116139497066","","dual_peak",""
"30","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","470","4905","0203-5-A2-DG","0203-5-A2-DG","0.018884655575263018","0.2825154155336292","-0.0768351133859867","0.2825154155336292","dual_peak","sustained_response","0.19099375538293425","","dual_peak",""
"31","HPC 0203-2.npz","data/raw/hpc/HPC 0203-2.npz","355","4959","0203-2-B2-40X001","0203-2-B2-40X001","-0.05378659824623495","0.49521819696061226","-0.011160570451412104","0.49521819696061226","dual_peak","sustained_response","0.19002991055629154","","dual_peak",""
"32","HPC 0212-1.npz","data/raw/hpc/HPC 0212-1.npz","577","4085","0212-1-B2-DG","0212-1-B2-DG","-0.03218856600044079","0.47631267755332385","-0.05388495988503994","0.47631267755332385","dual_peak","sustained_response","0.18866393952873353","","sustained_response",""
"33","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","1355","2186","0203-5-A5003","0203-5-A5003","0.7735609032214429","3.200723304520714","-0.4916399435886658","3.200723304520714","dual_peak","sustained_response","0.18684253751571933","","sustained_response",""
"34","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","733","265","0203-5-A2","0203-5-A2","-0.2072879410732454","5.9689282899600595","-0.10424862588986158","5.9689282899600595","dual_peak","sustained_response","0.18467988005646852","","sustained_response",""
"35","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","2538","298","0203-5-C5002","0203-5-C5002","-0.05119736772402402","0.4199380750535412","-0.023619573384307972","0.4199380750535412","dual_peak","sustained_response","0.1846133264255292","","sustained_response",""
"36","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","1301","122","0212-5-B5-40X004","0212-5-B5-40X004","-0.33376382949946426","6.650510026513814","-0.1459377637971339","6.650510026513814","dual_peak","sustained_response","0.18421999121014687","","sustained_response",""
"37","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","337","1587","0203-4-B2003","0203-4-B2003","-0.03817228141695867","1.7588922508518376","-0.0971795698877975","1.7588922508518376","dual_peak","sustained_response","0.18247287079343116","","dual_peak",""
