"review_index","source_file","source_path","trace_index","fiber_id","nd2_name","tile_name","baseline_9p5_10d","shifted_max","shifted_min","shifted_amplitude","predicted_label","model_top_label","prediction_confidence","target_label_distance","reviewed_label","notes"
"1","HPC 0203-2.npz","data/raw/hpc/HPC 0203-2.npz","164","1468","0203-2-A5-40X002","0203-2-A5-40X002","-0.00480929072985787","0.2707798171084284","-0.03473860754057595","0.2707798171084284","dual_peak","dual_peak","0.46567871476418915","","no_response",""
"2","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","1465","2785","0203-5-A5004","0203-5-A5004","0.021830522929683946","6.430302594375253","-0.11228499966705102","6.430302594375253","dual_peak","dual_peak","0.42689283003303713","","dual_peak",""
"3","HPC 0112-5.npz","data/raw/hpc/HPC 0112-5.npz","372","269","0112-5-CA1004","0112-5-CA1004","-0.10936728543256419","0.7009862629287851","-0.265266551891603","0.7009862629287851","dual_peak","dual_peak","0.37365110050474043","","dual_peak",""
"4","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","361","2338","0203-4-B2003","0203-4-B2003","-0.001303361916155103","0.28838055271104585","-0.09546458195196732","0.28838055271104585","dual_peak","dual_peak","0.35789000417060385","","sustained_response",""
"5","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","1394","3280","0203-4-C2003","0203-4-C2003","-0.015149887509169534","0.40149430300595373","-0.06922528080371579","0.40149430300595373","dual_peak","sustained_response","0.3399744948832017","","sustained_response",""
"6","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","1443","417","0203-4-C5-DG","0203-4-C5-DG","-0.02262136743589892","0.38969634786538654","-0.055511854209831346","0.38969634786538654","dual_peak","sustained_response","0.3351630926735477","","sustained_response",""
"7","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","3101","2354","0212-5-C5-40X","0212-5-C5-40X","0.028705863406670043","0.2720147898302545","-0.09857750834515794","0.2720147898302545","dual_peak","sustained_response","0.32890012429621834","","no_response",""
"8","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","2764","913","0203-5-C5004","0203-5-C5004","0.06307368244773155","1.7283936952109618","-0.21081620194140827","1.7283936952109618","dual_peak","sustained_response","0.3272912430142321","","sustained_response",""
"9","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","2898","1717","0212-5-C5-40X004","0212-5-C5-40X004","0.17645906765059785","1.895764923533767","-0.32598799129276756","1.895764923533767","dual_peak","sustained_response","0.3213870088451739","","sustained_response",""
"10","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","1039","387","0203-4-C2001","0203-4-C2001","0.4213449506641807","1.817122110591189","-0.4409688201535845","1.817122110591189","dual_peak","sustained_response","0.31809114235683245","","sustained_response",""
"11","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","137","278","0203-4-B2002","0203-4-B2002","0.03673926768022627","0.29568240376351007","-0.0763064490556995","0.29568240376351007","dual_peak","dual_peak","0.3163457198658127","","no_response",""
"12","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","89","2100","0203-4-B2001","0203-4-B2001","0.06502815788842377","1.3835396487704439","-0.06576646040172247","1.3835396487704439","dual_peak","sustained_response","0.31352226181873327","","sustained_response",""
"13","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","602","3155","0203-5-A2001","0203-5-A2001","0.002918845889202868","0.2945867407529719","-0.04195714520647591","0.2945867407529719","dual_peak","dual_peak","0.3129196779086673","","no_response",""
"14","HPC 0203-5.npz","data/raw/hpc/HPC 0203-5.npz","505","481","0203-5-A2001","0203-5-A2001","0.012181568128635988","0.33750984241225507","-0.1083839341801856","0.33750984241225507","dual_peak","sustained_response","0.306606369869298","","sustained_response",""
"15","HPC 0203-2.npz","data/raw/hpc/HPC 0203-2.npz","481","3366","0203-2-B2-40X002","0203-2-B2-40X002","-0.01136826324711821","0.31615720798330454","-0.046585554257232674","0.31615720798330454","dual_peak","sustained_response","0.3017008436058395","","no_response",""
"16","HPC 0212-1.npz","data/raw/hpc/HPC 0212-1.npz","211","539","0212-1-B2-DG002","0212-1-B2-DG002","0.26635735770489466","2.449237831626547","-0.22005550380227895","2.449237831626547","dual_peak","sustained_response","0.3005238492056278","","sustained_response",""
"17","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","2464","621","0203-4-D2003","0203-4-D2003","1.7022057226311484","8.501952518815497","-0.7479787729857301","8.501952518815497","dual_peak","sustained_response","0.29763339098342034","","sustained_response",""
"18","HPC 0120-3.npz","data/raw/hpc/HPC 0120-3.npz","209","6208","0120-3-CA1","0120-3-CA1","-0.052669914028197394","0.38288240021780784","-0.017110868581133788","0.38288240021780784","dual_peak","sustained_response","0.29516826436075405","","no_response",""
"19","HPC 0203-2.npz","data/raw/hpc/HPC 0203-2.npz","358","5193","0203-2-B2-40X001","0203-2-B2-40X001","-0.004323888249224544","0.32435788659599746","-0.04562103333282884","0.32435788659599746","dual_peak","sustained_response","0.2930257500263337","","sustained_response",""
"20","HPC 0212-2.npz","data/raw/hpc/HPC 0212-2.npz","242","3625","0212-2-B2-CA1002","0212-2-B2-CA1002","-0.0059178679856729385","0.3604151041158974","-0.06641300977876316","0.3604151041158974","dual_peak","dual_peak","0.2862179048710178","","no_response",""
"21","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","1647","5056","0203-4-C5-DG","0203-4-C5-DG","-0.0126602845551238","0.37740947438577327","-0.06290991058351136","0.37740947438577327","dual_peak","sustained_response","0.27919092556663805","","sustained_response",""
"22","HPC 0120-5.npz","data/raw/hpc/HPC 0120-5.npz","921","2044","0120-5-CA1","0120-5-CA1","0.057825802765288405","1.5529341764969034","-0.12923054756691185","1.5529341764969034","dual_peak","sustained_response","0.26977231790141853","","sustained_response",""
"23","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","1420","197","0203-4-C5-DG","0203-4-C5-DG","0.008377243725391724","0.37285353348368","-0.06783492517682406","0.37285353348368","dual_peak","sustained_response","0.26673116522425355","","sustained_response",""
"24","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","2580","3040","0203-4-D2003","0203-4-D2003","-0.09645401475930732","0.46198399494204423","-0.02656718046201663","0.46198399494204423","dual_peak","dual_peak","0.2617321737735114","","dual_peak",""
"25","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","2373","1745","0203-4-D2002","0203-4-D2002","0.046500257055111884","0.5390864939675433","-0.09397087871863313","0.5390864939675433","dual_peak","sustained_response","0.2612526050440356","","dual_peak",""
"26","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","1841","56","0212-5-C2-40X002","0212-5-C2-40X002","0.10130922026628358","0.7497372748911175","-0.10938521735874884","0.7497372748911175","dual_peak","sustained_response","0.2590461995116311","","dual_peak",""
"27","HPC 0120-5.npz","data/raw/hpc/HPC 0120-5.npz","371","2435","0120-5-CA1003","0120-5-CA1003","0.011856717053609711","0.5079117518915476","-0.043874212860974905","0.5079117518915476","dual_peak","second_peak","0.2585989262985635","","dual_peak",""
"28","HPC 0212-5.npz","data/raw/hpc/HPC 0212-5.npz","900","71","0212-5-B5-40X001","0212-5-B5-40X001","0.2582196240580791","1.9223915632330484","-0.2973179764072056","1.9223915632330484","dual_peak","sustained_response","0.25527260210817404","","sustained_response",""
"29","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","649","2819","0203-4-B5002","0203-4-B5002","0.009785449873372695","0.43422475269136096","-0.0372939183485296","0.43422475269136096","dual_peak","sustained_response","0.2545140222316261","","no_response",""
"30","HPC 0203-4.npz","data/raw/hpc/HPC 0203-4.npz","569","787","0203-4-B5002","0203-4-B5002","-0.0310128289050675","0.3233252342702335","-0.028463351098214774","0.3233252342702335","dual_peak","sustained_response","0.2534605551443755","","sustained_response",""
